id,URI,Label
0,http://id.worldcat.org/fast/870268,Communication in science
1,http://id.worldcat.org/fast/894932,Discourse analysis
2,http://id.worldcat.org/fast/917265,Evolution
3,http://id.worldcat.org/fast/887377,Damselflies
4,http://id.worldcat.org/fast/897386,Dragonflies
5,http://id.worldcat.org/fast/1204623,Great Britain
6,http://id.worldcat.org/fast/1205427,Ireland
7,http://id.worldcat.org/fast/1065823,Plants
8,http://id.worldcat.org/fast/998323,Life sciences
9,http://id.worldcat.org/fast/1132103,Statistics
10,http://id.worldcat.org/fast/808830,Angiosperms
11,http://id.worldcat.org/fast/847688,Carnivora
12,http://id.worldcat.org/fast/1266344,Zambezi River Watershed
13,http://id.worldcat.org/fast/1080875,Pseudomonas
14,http://id.worldcat.org/fast/1748896,Ecosystem services
15,http://id.worldcat.org/fast/1163863,Valuation
16,http://id.worldcat.org/fast/901476,Ecology
17,http://id.worldcat.org/fast/832383,Biology
18,http://id.worldcat.org/fast/1148536,Textbooks
19,http://id.worldcat.org/fast/832181,Bioinformatics
20,http://id.worldcat.org/fast/1052928,Parallel processing (Electronic computers)
21,http://id.worldcat.org/fast/917342,Evolutionary genetics
22,http://id.worldcat.org/fast/891773,Developmental biology
23,http://id.worldcat.org/fast/836873,Botany--Anatomy--Methodology
24,http://id.worldcat.org/fast/1432076,Plant diversity conservation
25,http://id.worldcat.org/fast/1245064,Europe
26,http://id.worldcat.org/fast/1065351,Plant conservation
27,http://id.worldcat.org/fast/836830,Botanical gardens
28,http://id.worldcat.org/fast/1076374,Primates
29,http://id.worldcat.org/fast/962785,Human anatomy
30,http://id.worldcat.org/fast/1078691,Programmed instruction
31,http://id.worldcat.org/fast/963183,Human physiology
32,http://id.worldcat.org/fast/1081300,Psychobiology
33,http://id.worldcat.org/fast/967961,Immunoglobulins
34,http://id.worldcat.org/fast/967921,Immunoassay
35,http://id.worldcat.org/fast/832225,Biological diversity conservation
36,http://id.worldcat.org/fast/832095,Biogeography
37,http://id.worldcat.org/fast/875490,Conservation biology
38,http://id.worldcat.org/fast/832208,Biological diversity
39,http://id.worldcat.org/fast/1432037,Ecosystem management
40,http://id.worldcat.org/fast/913250,Environmental policy
41,http://id.worldcat.org/fast/912895,Environmental economics
